alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,2,1,2,0.1,0.5,5,0.28930945747378856
1,2,1,2,0.30000000000000004,0.5,5,0.39162577815533783
1,2,1,2,0.5000000000000001,0.5,5,0.46460604539859107
1,2,1,2,0.7000000000000001,0.5,5,0.5130967344337771
1,2,1,2,0.9000000000000001,0.5,5,0.5605480381590232
1,2,1,2,1.1000000000000003,0.5,5,0.598023366105613
1,2,1,2,1.3000000000000003,0.5,5,0.6325963435586491
1,2,1,2,1.5000000000000004,0.5,5,0.6502706385422399
1,2,1,2,1.7000000000000004,0.5,5,0.6783510463796981
1,2,1,2,1.9000000000000004,0.5,5,0.6999741832529323
1,2,1,2,2.1000000000000005,0.5,5,0.7107652645151428
1,2,1,2,2.3000000000000007,0.5,5,0.723914402554654
1,2,1,2,2.5000000000000004,0.5,5,0.7382133846551248
1,2,1,2,2.7000000000000006,0.5,5,0.7486745594929689
1,2,1,2,2.900000000000001,0.5,5,0.7576116172808288
1,2,1,2,3.1000000000000005,0.5,5,0.7655395338198001
1,2,1,2,3.3000000000000007,0.5,5,0.7720588976252811
1,2,1,2,3.500000000000001,0.5,5,0.7787286337483832
1,2,1,2,3.7000000000000006,0.5,5,0.790554889088172
1,2,1,2,3.900000000000001,0.5,5,0.7965076230956702
1,2,1,2,4.1000000000000005,0.5,5,0.7993245435031375
1,2,1,2,4.300000000000001,0.5,5,0.8038300196498677
1,2,1,2,4.500000000000001,0.5,5,0.8125437079516529
1,2,1,2,4.7,0.5,5,0.8130147357222905
1,2,1,2,4.9,0.5,5,0.8175293652978952
1,2,1,2,5.1000000000000005,0.5,5,0.820433142042713
