alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,2,1,0.1,1,0.5,5,0.2750167237937909
1,2,1,0.30000000000000004,1,0.5,5,0.3147363689633771
1,2,1,0.5000000000000001,1,0.5,5,0.35281566234492323
1,2,1,0.7000000000000001,1,0.5,5,0.39188491582489376
1,2,1,0.9000000000000001,1,0.5,5,0.4303563100583746
1,2,1,1.1000000000000003,1,0.5,5,0.46007152912299826
1,2,1,1.3000000000000003,1,0.5,5,0.4907429314532308
1,2,1,1.5000000000000004,1,0.5,5,0.5254074704315728
1,2,1,1.7000000000000004,1,0.5,5,0.5543538411353208
1,2,1,1.9000000000000004,1,0.5,5,0.5667027389020194
1,2,1,2.1000000000000005,1,0.5,5,0.589016491778528
1,2,1,2.3000000000000007,1,0.5,5,0.613262384151525
1,2,1,2.5000000000000004,1,0.5,5,0.6319894573306923
1,2,1,2.7000000000000006,1,0.5,5,0.6450341593022455
1,2,1,2.900000000000001,1,0.5,5,0.6678414542620206
1,2,1,3.1000000000000005,1,0.5,5,0.6850195372879804
1,2,1,3.3000000000000007,1,0.5,5,0.6999361073806828
1,2,1,3.500000000000001,1,0.5,5,0.7073072803595163
1,2,1,3.7000000000000006,1,0.5,5,0.7117034858613952
1,2,1,3.900000000000001,1,0.5,5,0.729969594515784
1,2,1,4.1000000000000005,1,0.5,5,0.7412149086800497
1,2,1,4.300000000000001,1,0.5,5,0.7462264963730889
1,2,1,4.500000000000001,1,0.5,5,0.761375414469511
1,2,1,4.7,1,0.5,5,0.7663089662635788
1,2,1,4.9,1,0.5,5,0.7756531750691842
1,2,1,5.1000000000000005,1,0.5,5,0.7770620767456504
