alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,2,1,2,1,0.1,5,0.6692085432308101
1,2,1,2,1,0.30000000000000004,5,0.6305952266222512
1,2,1,2,1,0.5000000000000001,5,0.5813683474191237
1,2,1,2,1,0.7000000000000001,5,0.5403056627198028
1,2,1,2,1,0.9000000000000001,5,0.5054739197903028
1,2,1,2,1,1.1000000000000003,5,0.4686272525709243
1,2,1,2,1,1.3000000000000003,5,0.4369700513656633
1,2,1,2,1,1.5000000000000004,5,0.41194384825474095
1,2,1,2,1,1.7000000000000004,5,0.3852283614488634
1,2,1,2,1,1.9000000000000004,5,0.3700290749532321
1,2,1,2,1,2.1000000000000005,5,0.3474732168076249
1,2,1,2,1,2.3000000000000007,5,0.3291282012150475
1,2,1,2,1,2.5000000000000004,5,0.31643989283269497
1,2,1,2,1,2.7000000000000006,5,0.3107856568825149
1,2,1,2,1,2.900000000000001,5,0.2976520667008525
1,2,1,2,1,3.1000000000000005,5,0.29422731748032177
1,2,1,2,1,3.3000000000000007,5,0.28249184380443254
1,2,1,2,1,3.500000000000001,5,0.2766901250383985
1,2,1,2,1,3.7000000000000006,5,0.2732921307531656
1,2,1,2,1,3.900000000000001,5,0.26857720800190565
1,2,1,2,1,4.1000000000000005,5,0.2664914731651416
1,2,1,2,1,4.300000000000001,5,0.26107404186860017
1,2,1,2,1,4.500000000000001,5,0.2628323928573643
1,2,1,2,1,4.7,5,0.2573815554515101
1,2,1,2,1,4.9,5,0.2589907757894306
1,2,1,2,1,5.1000000000000005,5,0.25660879528028774
