alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,2,1,2,1,0.5,0.1,0.27867423659923724
1,2,1,2,1,0.5,0.30000000000000004,0.3288646309114483
1,2,1,2,1,0.5,0.5000000000000001,0.35691648381331376
1,2,1,2,1,0.5,0.7000000000000001,0.3872821015778358
1,2,1,2,1,0.5,0.9000000000000001,0.40796395937734253
1,2,1,2,1,0.5,1.1000000000000003,0.42377547311085983
1,2,1,2,1,0.5,1.3000000000000003,0.441278713823405
1,2,1,2,1,0.5,1.5000000000000004,0.45514379721062137
1,2,1,2,1,0.5,1.7000000000000004,0.4685009158981661
1,2,1,2,1,0.5,1.9000000000000004,0.47966133118633875
1,2,1,2,1,0.5,2.1000000000000005,0.4939695786265644
1,2,1,2,1,0.5,2.3000000000000007,0.501583268754598
1,2,1,2,1,0.5,2.5000000000000004,0.5092911214896694
1,2,1,2,1,0.5,2.7000000000000006,0.5189173657600622
1,2,1,2,1,0.5,2.900000000000001,0.5252268705551602
1,2,1,2,1,0.5,3.1000000000000005,0.5344440090416865
1,2,1,2,1,0.5,3.3000000000000007,0.5354039925782159
1,2,1,2,1,0.5,3.500000000000001,0.5428669644446649
1,2,1,2,1,0.5,3.7000000000000006,0.5534591547625004
1,2,1,2,1,0.5,3.900000000000001,0.5558116880200699
1,2,1,2,1,0.5,4.1000000000000005,0.5574272133998829
1,2,1,2,1,0.5,4.300000000000001,0.567209288306986
1,2,1,2,1,0.5,4.500000000000001,0.5738552553420737
1,2,1,2,1,0.5,4.7,0.5755620258135932
1,2,1,2,1,0.5,4.9,0.5866840190638553
1,2,1,2,1,0.5,5.1000000000000005,0.5909864861742259
