alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,2,0.1,2,1,0.5,5,0.5827090945096162
1,2,0.30000000000000004,2,1,0.5,5,0.5870490557735473
1,2,0.5000000000000001,2,1,0.5,5,0.5841939464073701
1,2,0.7000000000000001,2,1,0.5,5,0.5866014165668909
1,2,0.9000000000000001,2,1,0.5,5,0.5869820914497575
1,2,1.1000000000000003,2,1,0.5,5,0.5815795257724957
1,2,1.3000000000000003,2,1,0.5,5,0.5820063220691449
1,2,1.5000000000000004,2,1,0.5,5,0.5853615053855006
1,2,1.7000000000000004,2,1,0.5,5,0.5847683014853113
1,2,1.9000000000000004,2,1,0.5,5,0.5765090526426511
1,2,2.1000000000000005,2,1,0.5,5,0.5806863722533222
1,2,2.3000000000000007,2,1,0.5,5,0.5865591322166928
1,2,2.5000000000000004,2,1,0.5,5,0.5787830653942412
1,2,2.7000000000000006,2,1,0.5,5,0.5793344310402507
1,2,2.900000000000001,2,1,0.5,5,0.5793384166022532
1,2,3.1000000000000005,2,1,0.5,5,0.579247060956564
1,2,3.3000000000000007,2,1,0.5,5,0.5812613298661501
1,2,3.500000000000001,2,1,0.5,5,0.5814531907939355
1,2,3.7000000000000006,2,1,0.5,5,0.5838125408700479
1,2,3.900000000000001,2,1,0.5,5,0.5795705993047744
1,2,4.1000000000000005,2,1,0.5,5,0.5813136257957832
1,2,4.300000000000001,2,1,0.5,5,0.582755061872793
1,2,4.500000000000001,2,1,0.5,5,0.5847983179149969
1,2,4.7,2,1,0.5,5,0.5767872105961612
1,2,4.9,2,1,0.5,5,0.5844120527584531
1,2,5.1000000000000005,2,1,0.5,5,0.5824520449792041
